# TR: NSLS/X11 EDC-5.02 15-Sep-92 04:05:24 E- ENERGY=2.584GEV
# Cu foil, 150K   x11 standard foil
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 636 NSCLRS= 3 EF=     .0
# SRB=   -205.8    -55.6     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
# nsls 0.2p, Bruce Ravel   TR mode
# ----------------------------------------------------------------
#     energy              xmu
     8774.104            0.83825
     8784.130            0.81923
     8794.138            0.81490
     8804.168            0.81050
     8814.182            0.80592
     8824.217            0.80126
     8834.234            0.79693
     8844.233            0.79284
     8854.256            0.78835
     8864.259            0.78394
     8874.286            0.77983
     8884.336            0.77579
     8894.323            0.77169
     8904.377            0.76751
     8914.368            0.76367
     8924.426            0.76025
     8934.421            0.75678
     8934.894            0.75686
     8935.366            0.75675
     8935.882            0.75678
     8936.354            0.75639
     8936.826            0.75616
     8937.299            0.75614
     8937.858            0.75640
     8938.288            0.75599
     8938.761            0.75575
     8939.233            0.75558
     8939.792            0.75549
     8940.266            0.75524
     8940.696            0.75535
     8941.169            0.75512
     8941.728            0.75487
     8942.201            0.75475
     8942.675            0.75484
     8943.147            0.75455
     8943.621            0.75451
     8944.095            0.75447
     8944.568            0.75428
     8945.042            0.75430
     8945.516            0.75395
     8946.032            0.75395
     8946.506            0.75393
     8946.979            0.75376
     8947.453            0.75389
     8947.970            0.75364
     8948.444            0.75371
     8948.918            0.75376
     8949.392            0.75379
     8949.866            0.75364
     8950.383            0.75340
     8950.857            0.75332
     8951.332            0.75337
     8951.806            0.75322
     8952.280            0.75313
     8952.798            0.75348
     8953.272            0.75320
     8953.747            0.75345
     8954.222            0.75328
     8954.738            0.75321
     8955.213            0.75323
     8955.688            0.75335
     8956.163            0.75356
     8956.638            0.75341
     8957.155            0.75366
     8957.631            0.75344
     8958.105            0.75367
     8958.581            0.75370
     8959.056            0.75367
     8959.531            0.75401
     8960.049            0.75406
     8960.524            0.75438
     8961.000            0.75469
     8961.475            0.75532
     8961.950            0.75498
     8962.469            0.75530
     8962.944            0.75540
     8963.420            0.75575
     8963.896            0.75610
     8964.371            0.75674
     8964.890            0.75727
     8965.365            0.75752
     8965.842            0.75834
     8966.317            0.75854
     8966.793            0.75927
     8967.270            0.76002
     8967.788            0.76131
     8968.265            0.76231
     8968.741            0.76277
     8969.217            0.76420
     8969.693            0.76569
     8970.170            0.76712
     8970.688            0.76889
     8971.165            0.77186
     8971.642            0.77360
     8972.118            0.77641
     8972.595            0.77952
     8973.071            0.78444
     8973.592            0.79052
     8974.068            0.79687
     8974.545            0.80685
     8975.021            0.82042
     8975.499            0.83336
     8975.976            0.85529
     8976.452            0.90717
     8977.016            1.01237
     8977.493            1.13861
     8977.970            1.27934
     8978.404            1.36393
     8978.881            1.42438
     8979.358            1.44825
     8979.836            1.45456
     8980.399            1.43838
     8980.834            1.42962
     8981.312            1.41787
     8981.789            1.42502
     8982.267            1.44026
     8982.744            1.46483
     8983.222            1.50203
     8983.699            1.52877
     8984.221            1.55931
     8984.698            1.58121
     8985.177            1.62052
     8985.654            1.64649
     8986.133            1.68513
     8986.610            1.72497
     8987.089            1.78940
     8987.567            1.84567
     8988.089            1.90958
     8988.566            1.97937
     8989.045            2.03013
     8989.523            2.07605
     8990.002            2.13830
     8990.480            2.19338
     8990.959            2.23542
     8991.438            2.27006
     8992.003            2.28285
     8992.481            2.27773
     8992.917            2.26762
     8993.396            2.24783
     8993.875            2.22440
     8994.354            2.19937
     8994.833            2.17857
     8995.312            2.15260
     8995.791            2.13735
     8996.270            2.12753
     8996.792            2.12032
     8997.271            2.12292
     8997.751            2.13157
     8998.230            2.14952
     8998.710            2.17617
     8999.189            2.21569
     8999.669            2.23673
     9000.148            2.26344
     9000.628            2.28830
     9001.107            2.30406
     9001.587            2.30541
     9002.154            2.29299
     9002.591            2.27881
     9003.070            2.25834
     9003.550            2.23932
     9004.030            2.21716
     9004.510            2.18915
     9004.990            2.17101
     9005.471            2.15346
     9005.950            2.13686
     9006.431            2.12306
     9006.911            2.11056
     9007.391            2.09535
     9007.871            2.08203
     9008.439            2.06715
     9008.920            2.05971
     9009.400            2.05407
     9009.838            2.05295
     9010.317            2.05278
     9011.454            2.06254
     9012.503            2.07066
     9013.640            2.08787
     9014.777            2.10809
     9015.915            2.13709
     9017.096            2.16713
     9018.321            2.19542
     9019.504            2.22768
     9020.774            2.25942
     9022.001            2.28195
     9023.271            2.29720
     9024.586            2.29301
     9025.901            2.26760
     9027.218            2.23119
     9028.578            2.19767
     9029.938            2.15912
     9031.343            2.13164
     9032.748            2.11202
     9034.154            2.10125
     9035.604            2.09964
     9037.099            2.10797
     9038.594            2.11935
     9040.089            2.12903
     9041.585            2.12917
     9043.126            2.12276
     9044.755            2.12161
     9046.297            2.12920
     9047.883            2.14594
     9049.514            2.15651
     9051.146            2.15709
     9052.777            2.15624
     9054.454            2.16150
     9056.176            2.17635
     9057.898            2.19483
     9059.622            2.20751
     9061.346            2.21690
     9063.114            2.22758
     9064.928            2.24149
     9066.742            2.26053
     9068.557            2.27946
     9070.417            2.28936
     9072.277            2.28537
     9074.140            2.26794
     9076.047            2.23195
     9077.998            2.19495
     9079.906            2.16339
     9081.904            2.13756
     9083.859            2.11570
     9085.859            2.10604
     9087.904            2.09932
     9089.906            2.08025
     9091.998            2.04995
     9094.046            2.02212
     9096.140            2.00670
     9098.279            2.00900
     9100.374            2.02455
     9102.561            2.04675
     9104.702            2.07679
     9106.891            2.10316
     9109.124            2.12570
     9111.359            2.13680
     9113.595            2.13642
     9115.877            2.12804
     9118.159            2.12324
     9120.444            2.13223
     9122.773            2.16842
     9125.105            2.22345
