# Run:  mar03_100_a.    Mon Mar 24 20:01:49 2003                                  
# Cu foil, 4 micron, T=30 K slot 2, Cu foil reference                             
# 0.5x3.0 mm slits; monhgap=4mm; region Cuk15                                     
# 96.5 mA                                                                         
# N2 I0 I1 I2; gains 1^-7, 2^-9, 2^-10                                            
# 10-1 unfocused  1.234 -6 Si(220) 1.920156    50000                              
#                                                                                 
# sug ver 1.246 Tot glitches =    0, dead-time with Nb250kmar0                    
# Marked channels:  5  7 14 15 16 17 22 24 25 26 27 28 29 30 31 32.               
# * FLUORESCSENCE; P= -1.00 REMOVED FROM  8800. TO  8900. EV, ORDER=  1           
# CBY:E0= 8983.0;6 ORD FROM  9025.8-  9863.(K=15.2);P=1.0;WT=2;Efix= 9012.3       
# ----------------------------------------------------
#   k            chi
 0.3331940  -0.2974736
 0.4503410  -0.2870317
 0.5430029  -0.2772669
 0.6218045  -0.2671500
 0.6918713  -0.2563641
 0.7554675  -0.2419911
 0.8139533  -0.2264391
 0.8686571  -0.2091808
 0.9201142  -0.1922173
 0.9688423  -0.1719955
 1.0152342  -0.1519114
 1.0592339  -0.1298765
 1.1011281  -0.1085664
 1.1421595  -0.0897623
 1.1817671  -0.0700129
 1.2200895  -0.0511902
 1.2572446  -0.0337149
 1.2933325  -0.0163317
 1.3284404  -0.0021774
 1.3626441  0.0101491
 1.4046156  0.0210936
 1.4626498  0.0319213
 1.5200708  0.0338122
 1.5772706  0.0278400
 1.6338021  0.0175166
 1.6898836  0.0057332
 1.7458527  -0.0081089
 1.8012215  -0.0159941
 1.8563200  -0.0235166
 1.9113058  -0.0237696
 1.9659274  -0.0132656
 2.0202777  0.0039165
 2.0746257  0.0233256
 2.1285496  0.0374074
 2.1823158  0.0412041
 2.2361653  0.0334266
 2.2895885  0.0191360
 2.3427777  0.0054853
 2.3958034  -0.0079292
 2.4488845  -0.0192741
 2.5018644  -0.0306842
 2.5546992  -0.0407581
 2.6072006  -0.0473807
 2.6598709  -0.0481553
 2.7126052  -0.0461731
 2.7650294  -0.0432801
 2.8172061  -0.0358488
 2.8695509  -0.0284808
 2.9216600  -0.0168901
 2.9738042  -0.0055521
 3.0258975  0.0039679
 3.0779421  0.0129258
 3.1296945  0.0235389
 3.1816528  0.0321351
 3.2335293  0.0390288
 3.2851722  0.0424302
 3.3368995  0.0361715
 3.3886316  0.0244703
 3.4402938  0.0107592
 3.4917054  -0.0017351
 3.5432396  -0.0136487
 3.5947483  -0.0220049
 3.6463377  -0.0276052
 3.6977971  -0.0288782
 3.7491653  -0.0257955
 3.8004129  -0.0199035
 3.8516443  -0.0150815
 3.9029586  -0.0134800
 3.9542878  -0.0141053
 4.0055995  -0.0149383
 4.0567045  -0.0142824
 4.1079225  -0.0109611
 4.1590343  -0.0043039
 4.2101641  -0.0003769
 4.2612829  -0.0032434
 4.3122416  -0.0014919
 4.3632808  0.0021443
 4.4143395  0.0094535
 4.4653888  0.0161380
 4.5162869  0.0200196
 4.5672913  0.0236966
 4.6182871  0.0272756
 4.6692758  0.0328923
 4.7201476  0.0411005
 4.7711225  0.0452760
 4.8220100  0.0467961
 4.8728137  0.0428028
 4.9236660  0.0327884
 4.9745135  0.0216843
 5.0252295  0.0105195
 5.0760446  -0.0007711
 5.1269064  -0.0101136
 5.1777387  -0.0141336
 5.2284698  -0.0167456
 5.2792468  -0.0214719
 5.3298774  -0.0316319
 5.3806744  -0.0425657
 5.4314918  -0.0503191
 5.4821196  -0.0527560
 5.5327935  -0.0485735
 5.5835586  -0.0388465
 5.6342530  -0.0265598
 5.6849236  -0.0147944
 5.7355714  -0.0042886
 5.7861528  0.0031279
 5.8367786  0.0067868
 5.8874264  0.0035424
 5.9379878  -0.0013979
 5.9886360  -0.0003849
 6.0392628  0.0092505
 6.0898476  0.0262962
 6.1404123  0.0484248
 6.1909990  0.0603877
 6.2416072  0.0637578
 6.2921543  0.0617363
 6.3427839  0.0565929
 6.3933134  0.0501501
 6.4437847  0.0404983
 6.4943376  0.0254593
 6.5448718  0.0031700
 6.5953884  -0.0194429
 6.6459456  -0.0429661
 6.6965418  -0.0650715
 6.7469869  -0.0801323
 6.7974730  -0.0823835
 6.8480163  -0.0693380
 6.8984695  -0.0506067
 6.9489798  -0.0275158
 6.9994183  -0.0066482
 7.0499511  0.0114452
 7.1004496  0.0215282
 7.1508951  0.0209798
 7.2012911  0.0142899
 7.2517781  0.0077389
 7.3022323  0.0033758
 7.3527064  0.0015016
 7.4031653  -0.0019542
 7.4536095  -0.0085999
 7.5040565  -0.0099299
 7.5544376  -0.0014096
 7.6047716  0.0157404
 7.6552105  0.0352522
 7.7056179  0.0463320
 7.7560453  0.0486431
 7.8064756  0.0479244
 7.8568916  0.0427375
 7.9073114  0.0304577
 7.9577332  0.0138285
 8.0081577  -0.0056212
 8.0585213  -0.0223358
 8.1088572  -0.0339617
 8.1592750  -0.0384838
 8.2096643  -0.0389487
 8.2599936  -0.0342945
 8.3104353  -0.0278412
 8.3608332  -0.0226113
 8.4111586  -0.0210824
 8.4615173  -0.0193262
 8.5119238  -0.0170879
 8.5622740  -0.0132699
 8.6126127  -0.0067712
 8.6629553  0.0012462
 8.7133150  0.0069743
 8.7636919  0.0120917
 8.8140440  0.0139044
 8.8643560  0.0148076
 8.9147148  0.0171287
 8.9650040  0.0208658
 9.0153551  0.0252615
 9.0657511  0.0294919
 9.1160793  0.0293193
 9.1663837  0.0234283
 9.2166634  0.0143356
 9.2670031  0.0048452
 9.3173180  -0.0040002
 9.3676910  -0.0106782
 9.4179993  -0.0129612
 9.4683237  -0.0100760
 9.5186377  -0.0058207
 9.5689154  -0.0043197
 9.6192637  -0.0092169
 9.6695480  -0.0185210
 9.7198505  -0.0246873
 9.7701817  -0.0245785
 9.8204899  -0.0190159
 9.8707371  -0.0141486
 9.9210138  -0.0111066
 9.9713202  -0.0062697
 10.0216417  -0.0018189
 10.0719538  0.0012483
 10.1222057  0.0041669
 10.1725006  0.0073926
 10.2228107  0.0103141
 10.2731104  0.0128584
 10.3233528  0.0154650
 10.3736353  0.0166335
 10.4239464  0.0170439
 10.4742479  0.0173433
 10.5245037  0.0158158
 10.5747757  0.0105417
 10.6250505  0.0025842
 10.6752815  -0.0049805
 10.7255516  -0.0093104
