# data from ifeffit
#------------------------
#   r         chir_mag    chir_mag    chir_mag
  0.0000000       0.38287376E-01   0.29560597E-01   0.87267794E-02
  0.30679616E-01   0.39077787E-01   0.27537541E-01   0.14894889E-01
  0.61359232E-01   0.41738465E-01   0.22266841E-01   0.24191187E-01
  0.92038847E-01   0.46400073E-01   0.16828424E-01   0.31325879E-01
  0.12271846       0.51983506E-01   0.17279778E-01   0.34726580E-01
  0.15339808       0.56348874E-01   0.23996210E-01   0.33751704E-01
  0.18407769       0.57237290E-01   0.31097440E-01   0.28460139E-01
  0.21475731       0.53141896E-01   0.34999203E-01   0.19687899E-01
  0.24543693       0.44092790E-01   0.34080645E-01   0.10016265E-01
  0.27611654       0.33160611E-01   0.28053670E-01   0.10868586E-01
  0.30679616       0.29790477E-01   0.18288557E-01   0.21402400E-01
  0.33747577       0.40942312E-01   0.11710203E-01   0.31045613E-01
  0.36815539       0.57427449E-01   0.20473854E-01   0.37111616E-01
  0.39883500       0.70856231E-01   0.33545456E-01   0.38364552E-01
  0.42951462       0.76746281E-01   0.43688406E-01   0.34367965E-01
  0.46019424       0.72767383E-01   0.48079280E-01   0.25516577E-01
  0.49087385       0.58600740E-01   0.45287827E-01   0.13342942E-01
  0.52155347       0.36781684E-01   0.35170316E-01   0.74542324E-02
  0.55223308       0.21108845E-01   0.19205143E-01   0.20158979E-01
  0.58291270       0.40422984E-01   0.85557614E-02   0.33073053E-01
  0.61359232       0.68533958E-01   0.26713555E-01   0.42110189E-01
  0.64427193       0.90592341E-01   0.45912806E-01   0.45498155E-01
  0.67495155       0.10112512       0.59643196E-01   0.42374426E-01
  0.70563116       0.97197485E-01   0.64946365E-01   0.32850861E-01
  0.73631078       0.78272481E-01   0.60243882E-01   0.18129370E-01
  0.76699039       0.46675870E-01   0.45547131E-01   0.46199189E-02
  0.79767001       0.15231984E-01   0.22669923E-01   0.20697054E-01
  0.82834963       0.45594071E-01   0.81056693E-02   0.37793683E-01
  0.85902924       0.86079639E-01   0.36120228E-01   0.50323337E-01
  0.88970886       0.11698590       0.61708844E-01   0.55971034E-01
  0.92038847       0.13193690       0.79253399E-01   0.53424717E-01
  0.95106809       0.12723923       0.85253327E-01   0.42556394E-01
  0.98174770       0.10220711       0.77913006E-01   0.24523984E-01
  1.0124273       0.59557732E-01   0.57509123E-01   0.28407473E-02
  1.0431069       0.11046071E-01   0.26523865E-01   0.23388110E-01
  1.0737866       0.57500517E-01   0.11489150E-01   0.46012687E-01
  1.1044662       0.11192530       0.49262148E-01   0.63069457E-01
  1.1351458       0.15271556       0.81868035E-01   0.71504908E-01
  1.1658254       0.17206729       0.10339192       0.69403550E-01
  1.1965050       0.16528546       0.10959528       0.56333912E-01
  1.2271846       0.13157165       0.98469244E-01   0.33517790E-01
  1.2578642       0.74459917E-01   0.70695376E-01   0.37805502E-02
  1.2885439       0.71833116E-02   0.29719315E-01   0.28851436E-01
  1.3192235       0.78229129E-01   0.18822280E-01   0.59472013E-01
  1.3499031       0.14999229       0.67249765E-01   0.83193010E-01
  1.3805827       0.20299025       0.10791543       0.95764767E-01
  1.4112623       0.22719037       0.13368869       0.94301909E-01
  1.4419419       0.21648797       0.13943552       0.77832412E-01
  1.4726216       0.16991466       0.12294198       0.47608312E-01
  1.5033012       0.92194535E-01   0.85456132E-01   0.72359879E-02
  1.5339808       0.81673943E-02   0.31707329E-01   0.38443529E-01
  1.5646604       0.11269270       0.30655973E-01   0.82201099E-01
  1.5953400       0.20883277       0.92059115E-01   0.11729084
  1.6260196       0.27906681       0.14250485       0.13734087
  1.6566993       0.30980586       0.17309964       0.13763500
  1.6873789       0.29260557       0.17757976       0.11597462
  1.7180585       0.22591563       0.15348900       0.73275012E-01
  1.7487381       0.11592455       0.10282265       0.14055341E-01
  1.7794177       0.23911244E-01   0.31999909E-01   0.55724000E-01
  1.8100973       0.17351242       0.48877265E-01   0.12488703
  1.8407769       0.31007845       0.12739089       0.18330442
  1.8714566       0.41004833       0.19065312       0.22030778
  1.9021362       0.45322990       0.22733146       0.22698657
  1.9328158       0.42611289       0.22957249       0.19765463
  1.9634954       0.32460383       0.19450123       0.13110212
  1.9941750       0.15565462       0.12503452       0.31668026E-01
  2.0248546       0.62545004E-01   0.29839770E-01   0.92349951E-01
  2.0555343       0.30185981       0.77661474E-01   0.22454599
  2.0862139       0.52711826       0.18097439       0.34689636
  2.1168935       0.70005003       0.26303160       0.43809314
  2.1475731       0.78405132       0.30877561       0.47652302
  2.1782527       0.74905355       0.30771735       0.44257163
  2.2089323       0.57589779       0.25595760       0.32098443
  2.2396120       0.25961290       0.15734647       0.10309338
  2.2702916       0.18888255       0.23558193E-01   0.21243566
  2.3009712       0.74294453       0.12715895       0.61625806
  2.3316508        1.3622960       0.27197295        1.0912419
  2.3623304        1.9968547       0.38686008        1.6112356
  2.3930100        2.5918811       0.45001474        2.1432372
  2.4236896        3.0938502       0.44543557        2.6496926
  2.4543693        3.4563420       0.36593339        3.0913797
  2.4850489        3.6452369       0.21513150        3.4306029
  2.5157285        3.6425743       0.81969931E-02    3.6344094
  2.5464081        3.4485967       0.22957816        3.6775357
  2.5770877        3.0817244       0.46418623        3.5448110
  2.6077673        2.5764642       0.65770396        3.2327883
  2.6384470        1.9795110       0.77236047        2.7504446
  2.6691266        1.3445265       0.77557134        2.1188701
  2.6998062       0.72623505       0.64453406        1.3699600
  2.7304858       0.17456139       0.36988134       0.54422759
  2.7611654       0.27052591       0.42156925E-01   0.31246083
  2.7918450       0.58273721       0.56924966        1.1511388
  2.8225246       0.75160407        1.1747584        1.9250955
  2.8532043       0.78253790        1.8108894        2.5919679
  2.8838839       0.69509958        2.4236279        3.1173292
  2.9145635       0.51967971        2.9584536        3.4770369
  2.9452431       0.29309297        3.3662981        3.6587827
  2.9759227       0.53704852E-01    3.6090037        3.6626682
  3.0066023       0.16343875        3.6636168        3.5007714
  3.0372820       0.33030478        3.5249847        3.1957596
  3.0679616       0.42903378        3.2063357        2.7786875
  3.0986412       0.45303901        2.7377703        2.2861896
  3.1293208       0.40681426        2.1628522        1.7573275
  3.1600004       0.30425890        1.5337221        1.2303788
  3.1906800       0.16589763       0.90533571       0.73985306
  3.2213597       0.15532432E-01   0.32952911       0.31401494
  3.2520393       0.12390081       0.15038906       0.28645659E-01
